date,review,rating,isEdited,userName,title,app_name,app_id
2022-12-13 12:55:30,"Giving one star because doordash has been my go to for a few years now, and when we have issues with the food they were really good at fixing the issue. I don’t blame them for the crappy food that these restaurants are serving but I do expect them to at least fix the problem when there is one. Last night I got a complete wrong order, showed the receipt in the messages so that we could at the very least get the food replaced. Didn’t open it, even offered to give it back. Or have a credit or refund. They chose to say we had did this before and there was nothing they could do. Which is ridiculous cause we have only complained one other time about this restaurant. A year ago, at that!! But also who doesn’t complain when the order is completely wrong or missing items, which has been very often lately which is why we started to use it less. And then when I think just maybe, just maybe my order will be correct, this happens. Do we just accept it even though we spent our money on it?!?!? Like I’m sorry but that’s not something I’m doing. I would rather have the food replaced than to receive the money but apparently they don’t like doing that either. So my family, friends and I have chosen to delete out accounts and go with another service. You should be ashamed of yourselves. Even tried speaking with a supervisor but still the same results. Be cautious using this app because they don’t like to do what’s right!!! Very disappointing DOORDASH! Do better!!",1,False,HIGHCEE011,Used to love this service!!,doordash,719972451
2022-11-15 04:41:26,"Person never dropped off food and toke a black photo. Never answered me either. Thankfully door dash gave us back our money but not to our bank account but as credit on their app. For the first time ordering I can say it definitely was a sucky experience! But I like their quick response. Our door also has light and cameras. Unfortunately the next driver placed the bag of food so close to the door that I couldn’t open it without it rolling down the steps and she seen me (the passenger) struggle and still drove off. She literally could of got out and helped but I guess she waited for me to say help when I looked up to say help she already was driving away. Tho I would of not waited for someone to say help and offered it, I still feel this was a better driver than the OTM which I found out means “On The Move” meaning someone making moves being sneaky and they sure was and got away with it. Other than those two experiences I’m ok with giving the app another try. I’m in Philly PA so people out here going to try to take advantage the best way they know how and think they entitled to it smh I just wish there was a way to protect us from people like this who they hire.. I’m ordering again today so let’s see what happens now…",5,False,PR Mamabear,Beware of driver name OTM,doordash,719972451
2022-12-10 00:11:50,"I have been using DoorDash for a while now and it’s only getting worse. Not only is the food a lot more expensive using the app, but the drivers never follow the instructions at all. I have specific instructions for both home and office and in neither location do they ever read the instructions. On top of that, half of the drivers can’t speak, or read English, so it doesn’t matter if I write instructions on where to leave the food. The last time I ordered food, it was for my office, and it explicitly stated to walk inside the building and hand it to me or put it on the front desk. Instead, the driver went to the totally wrong door and left the food outside in the cold and rain. On top of that, there is no way to adjust the tip or to conveniently take away the tip when they failed to do their job appropriately. I’m sorry, but I do not feel I should have to tip a person for not doing an appropriate job in the first place. If they can’t do their job, they don’t deserve tip. This is coming from a person who worked in the service industry for a very long time. There was even one time, when I ordered my food, and the driver brought me the completely wrong order. Since it was later in the evening, I was not able to have the food order corrected. DoorDash did refund me my money, but I was still screwed on food for that night. It’s just not worth it unless you’re in a desperate situation.",2,False,Skcaj007,Only use as last resort,doordash,719972451
2022-11-07 04:36:03,"I have been both a consumer and dasher and it’s very convenient for a consumer if you are willing to pay the extra fee but it’s also hard to tip so much extra for the dasher to make it worth while. As a previous dasher I know that it is hard to even call it a side hustle. Most consumers are reluctant to leave a tip and when they do it’s minimal, but I understand as a consumer that it’s hard to pay a big tip when you order something and the price is twice as much as item you paid for just because door dash charges extra. Then you have you tile the driver because trust be they don’t make much without a tip. Please tip big for these dashers if they do a good job so there is more value in it. Remember, door dah doesn’t pay for gas, insurance, maintenance or anything. Yes dashers get a tax write off but it’s not exactly the same. 

Also, if you are a dasher you may want to try instacart instead if it is popular in your city. Especially in the winter. It’s pays better and it keeps you more active throughout the day. I made way more doing instacart when I was trying both. Around $20 and hour. Again you are an independent contractor so you can get write offs. I personally wrote off all of my taxes as a instacarter and make about 40,000 a year gross income.",4,False,the-honest-review.,Good for consumers bad for dashers.,doordash,719972451
2022-09-24 00:10:33,"I placed an order, two drivers bailed out on the order due to having to wait an extra ten minutes. Mind you we tip a ridiculous amount both being in the service industry. So, someone picks up the order drops it off and runs away. 100% incorrect order. Missing all four drinks/shakes and I don’t know the 2nd bag of the order. 100% under the wrong name… my name brings with and E not and A. Call customer service and told 100% will go back to the card…. It didn’t. So I contact them and of course there is NOTHING THEY CAN DO. This man I spoke to via text convo, told me to calm down said I was too excited and maybe I had personal problems to be upset that I was lied to again. I have loads of screenshots where I was Insulted and pretty much called a p.o.s. By someone who refused to apply the credit to my card and not an app credit. I was then promised 30+ dollars in a gift card multiple times and got a wait for it 5.00 credit… when asking to speak with someone higher up or idk maybe over the phone I was told I was old and to get with the times. No on talks on the phone anymore. I am sure the BBB would LOVE to know they are lying about their return policy and method of payment. Customer service is disgusting and a total waste of time. Just don’t use the app. Just drive to the place. Give the money to the restaurant directly. Crappy drivers are one thing. Bad customer service is a company approved problem.",1,False,customer is never right!,Customer service is a disaster,doordash,719972451
2022-11-13 12:09:58,I’ve used DoorDash quite frequently over the past two years. However lately it seems I’m having more more issues with my food not being delivered to the correct address or Dashers picking up other orders and my food getting here extremely late. That has even happened when I’ve ordered things such as ice cream. I think the worst part about it is that some of these Dashers do not respond to your calls or messages. I could easily direct them to my house which is not at all difficult to find. GPS takes anyone directly to my driveway which is only 15 feet long. for a long time my orders often came without the drinks. Therefore I stopped ordering drinks. But now there seems to be issues more and more. The worst part is often times I only get partial refunds when a delivery does not go well. Or when the delivery is delivered to an entirely different place I get offered to have it re-delivered. But then the new Dasher ended up still picking up somebody else’s order before mine and then came to my neighborhood with blaring music that caused some of my neighbors to step outside. Very embarrassing. I was afraid to even complain about the loud music as this person obviously knows where I live. All these issues coupled with the high prices make this no longer worth the trouble. therefore I have deleted the app and will no longer be using.,2,False,AS in VA,Sick of delivery issues,doordash,719972451
2022-11-17 19:01:32,"I’ve had doordash for a couple of years now, but over the past couple of months it has become an incredibly frustrating experience. When I order food for delivery, many times they’ll have more than one other person to deliver before me, so I get cold food when it arrives even when the driver has thermal equipment to keep the food in. When I order for pick up, the app gets incredibly confusing. It constantly suggest locations to me that are not the closest, and the address for the place doesn’t even show up until the check out. And then I go to my usual location thinking it’s fine since I’ve order from those places many times before only to find out it’s a whole other location I’ve never been to. There are no warnings or anything to tell you this isn’t the closest location when you’re ordering, and if it’s frustrating for a person that is used to apps, I can’t imagine how infuriating it would be for more technologically challenged people. On top of that, when restaurants have gotten my orders wrong, I’m only given a partial refund for my order even though I now have a meal I can’t eat. I originally got this app because it was cheaper than uber eats with decent service, but now the prices are about the same so I don’t see a point anymore. Really disappointed.",2,False,ffbin,Incredibly frustrating experience,doordash,719972451
2022-11-11 22:56:53,"Honestly used to love DoorDash. I’m going to give it a 2 because it was recently at a 1. The only reason for that is 1 star for the restaurants because they always make the food on point and it’s usually never them. The second star is because Door Dash used to be good. But what in the world has been going on with the past deliveries. 
Every delivery that I have placed in the past 2-3 months has been so terrible and it’s been about 6 times. This is definitely my last as I’m currently waiting AGAIN for more than 1 hour for my food all because of other deliveries. 
What’s the point of ordering food and calling yourself door dash if you aren’t going to be either of those things? 
The food has been taking at least 2 hours every time to be delivered. The longest I’ve waited was 2 hours and 45 minutes!!! 
I’m not sure if it’s the drivers or door dash but I do not want to return as a customer because this is simply ridiculous. They pass right by your house. It’s not even like they go to a spot down the block, you see them jumping on high way and are stuck where it is they probably have went. Oh and then when you ask, half the time they never respond. There has to be a better algorithm or your going to lose your customers!!! If I wanted to wait 3 hours for food, I can go walk and pick it up!",2,False,Tmm314,I’m so over it.,doordash,719972451
2022-10-12 21:01:10,"Long term users subjected to dishonest dashing, may not receive fair services or compensation for dishonest deliveries. In my experience to recent events deliveries have been miss delivered to wrong complexes or apartments. Due to this issue i’ve had re-ordered, sometimes repeating the miss delivery. However, some dashers call the customers to make sure the order is in your possession by the correct building, floor and apt. In my last order DoorDash has miss delivered and denied any sort of refund or help. In contacting support, all I’m told is that they cannot process any sort of “transaction and there’s nothing they can do for me” However there is many things that can be done. Such as a photo of the door with the food and apt #. Then, I’d at least know where to find my order, but they rather say they can’t offer me money as the first and only solution leaving a sour taste in my mouth and a distrust in what they think of me and letting me know they see me as a dishonest customer or that my issues are below them. Id hope they reinforce dashers to check customer notes for delivery help. After getting in contact with many agents from DoorDash for the past two weeks they denied any sort of help or use of my account and I never get any updates about my $43 purchase. I’m not willing to ever use DoorDash again. Especially when I never had an issue using Uber eats.",1,False,Official_lopez99,BEWARE FOR NO FAIR REFUND & SOLUTIONS,doordash,719972451
2022-10-22 00:36:27,"The app is easy to use and has a way better format than the other delivery services I’ve used. True to delivery time(except for when it’s out of their control), delivery drivers have been great. If I was to have an issue with the quality of food it is very easy to get the issues resolved no headache! I’m just waiting on additional restaurants to be added lol I’m a foodie!

Only thing is there GPS is off. Idk if it’s my address specifically but every time they have an issue finding my apt and spend 5 min trying to find my apt. When on my end it shows exactly where I’m at. And yes I’ve worked were I lived for 4 years the address is correct it shows on my end my exact building but it just never brings them here unfortunately. I always receive a call after them circling the property for 5 min trying to figure out where I’m at. Even had a delivery driver having issues trying to complete the order because the app said they were far away from the delivery address but they were speaking to me at the doorway… Other than this they are great!",5,False,Wandraya,No problem’s really… lol they’re great just one thing,doordash,719972451
