feature,dissatisfaction,satisfaction,neutral,frequency
store credit,0.0,0.0,10.347503670075652,1
delivery service,0.866351096631004,1.1408303691558443,0.0,9
whole day,0.0,0.7345155351047831,0.0,2
poor service,0.912555593849122,0.0,0.0,3
be prepared,2.1838944121348773,0.0,0.0,2
low pay,0.0934822836622615,0.0,0.0,1
first time,0.0167245881500857,0.9308147203917582,0.0,16
last time,0.5436797260375164,0.0234344709498929,1.8747576759914355,6
first order,0.3764294640925073,0.9762838989634388,0.0,5
store close,0.1992625533506132,0.0,2.656834044674843,2
same price,0.1526520007448865,0.2180742867784093,0.0,3
poor service,0.6018494305134817,0.0,0.0,3
be nice,0.0,1.8873082412697135,0.0,6
star review,0.0,0.0775710555534865,2.068561481426308,2
re order,0.1989347895146765,0.1475615192711859,1.83632113115652,9
have drive,0.0,0.9748703637029036,0.0,2
uber eats,0.3491408729361705,0.4777811581711117,0.8944977636697458,109
extra money,0.354517819000097,0.5825272033104696,0.0,2
say sorry,0.4523321115010199,0.2035494501754589,0.0,2
grub hub,0.2017146424105646,0.184679560882546,1.6015571675451146,17
ur food,0.2410360569747763,0.1726047942242705,1.0876549255904828,31
delivery fee,0.0545619195817679,0.1351926889421139,1.1982225464249985,23
few time,0.2323863720743476,0.2572849119750256,0.0,3
pizza place,0.0,1.3833219098095166,0.0,2
be careful,0.2825094087913378,0.0,0.0,3
pizza place,0.0,1.2680574822835922,0.0,2
uber eats,0.2366881574610173,0.3238954552817006,0.6063942779185824,109
have multiple,0.1889971695778065,0.0,1.25998113051871,2
second time,0.1250849260589576,0.0,1.667799014119435,6
be good,0.0,1.3795122871917185,0.0,4
re order,0.1189393331453605,0.0882242303764384,1.0979015350373251,9
confirm order,0.7966347879001187,0.0,1.225591981384798,2
delivery fee,0.0422540986847175,0.1046965587684572,0.9279331466155673,23
hour late,0.2410851303377878,0.0019644624186806,0.8840080442059,8
ur food,0.1631530753703069,0.1168331549843419,0.7362145244116718,31
delivery driver,0.0928102677034779,0.3948655028801536,0.8099805187285203,11
lose customer,0.8765559985673317,0.0,0.0,1
have drive,0.0,0.5147198590377937,0.0,2
be honest,0.0,0.8282351763651858,0.0,1
be deliver,0.0392014170699753,0.1620598903981373,0.8275398662149736,10
need help,0.0,0.51572209225251,1.03144418450502,2
arrival time,0.017120863568401,0.205450362820812,0.68483454273604,3
be good,0.0,1.1228475434042295,0.0,4
quality food,0.0,2.000656102539688,0.0,1
be good,0.0,1.100259242569381,0.0,4
say help,0.0,0.4918584674232236,0.9837169348464472,2
first time,0.0057806123041744,0.3217226623051825,0.0,16
contact uber,0.0,0.1911338727447999,0.0,1
bottom line,0.7013083668954755,0.2026001951926077,0.0,2
uber eats,0.1652359722146215,0.2261168493746204,0.4233340152380167,109
original order,0.0,0.3440909035893145,0.0,2
delivery fee,0.0318765795861891,0.0789833008363259,0.7000346882195415,23
grub hub,0.1057322973638697,0.0968030580968848,0.8394845146613318,17
do anything,0.1627780771139412,0.1187649483958513,0.5777475411267994,18
next time,0.0,0.166824749174357,0.0,1
first place,0.0522079084848127,0.278442178724889,0.0,4
do anything,0.156740142695375,0.1143595949087438,0.5563171260140216,18
food quality,0.0,0.9156336999175828,0.0,1
allow driver,0.0,0.0,1.6564464080589856,1
many time,0.0,0.6267188984422926,0.0,7
different restaurant,0.0,0.0,1.6549556026257235,3
hour wait,0.0305709154244059,0.142664271980561,0.4076122056587458,4
group order,0.0,0.3254572059059378,0.0,1
missing item,0.2272585065923546,0.0190299421890551,0.0813493709911379,20
get money,0.4933910581015044,0.0,0.0,1
deliver food,0.0,0.1732918662234557,0.536645780380551,3
someone cancel,0.6228902277232803,0.0,0.0,1
delivery person,0.3138693056901079,0.0828266224220755,0.2615577547417566,6
new place,0.0,0.2136450913768044,0.0,1
delivery apps,0.0709044981946529,0.2121763393805501,0.2578345388896469,6
year old,0.4655997073361106,0.0,0.0,1
delivery fee,0.0269805513843674,0.0668519971209437,0.5925140689978595,23
reach customer,0.5016706895545848,0.0,0.0,1
something wrong,0.1073024876723151,0.0,0.0,1
good company,0.0,0.1121680766670986,0.0,1
order something,0.0,0.3484330565739564,0.0,3
uber eats,0.1335930146861089,0.1828151048129174,0.3422648625286292,109
food sit,0.0,0.1081095206547738,0.7374913041488395,2
spend hour,0.0,0.0,1.4719717360281916,1
late night,0.2196872145063129,0.2215179412938655,0.0,2
first time,0.0043232783098956,0.24061406206769,0.0,16
use app,0.2747558670483065,0.0,0.0,1
last week,0.0,0.0,1.441182486579931,1
last time,0.1367816576225566,0.0058957611044205,0.4716608883536434,6
new customer,0.0,0.0868021686035139,0.0,1
first time,0.004120375511357,0.2293214125869646,0.0,16
thing happen,0.0,0.1892525711580402,0.0,1
credit card,0.0583732652078319,0.0835141085457442,0.4271214529485859,16
many other,0.0,0.3430397546002844,0.0,4
hour late,0.1365600553698376,0.0011127484150147,0.5007367617197993,8
be great,0.0,0.9904926667900092,0.0,3
full refund,0.0376097144016871,0.1927497863086466,0.0,7
home page,0.2320778502972968,0.0,0.0,2
uber eats,0.1150045384561356,0.1573777401551952,0.2946412478028358,109
be closed,0.0961074599894802,0.019221491997896,0.0,4
delivery fee,0.0224845140963877,0.0557117847676178,0.4937775639533238,23
be separate,0.6235632864422505,0.0,0.0,1
be aware,0.0,0.2318261813827666,0.0,2
correct address,0.017245845285514,0.0169378837625583,0.6159230459112144,4
original order,0.0,0.2285096975203091,0.0,2
wrong address,0.3517059353594584,0.0205278430941927,0.0,10
rate driver,0.0,0.5990850186186929,0.0,1
last few,0.2844849418768279,0.0,0.0,1
many people,0.0,0.3665974089411341,0.0,2
same thing,0.0183501704435653,0.1174410908388184,0.5872054541940923,4
many issue,0.0,0.2197274742341651,0.0,3
different driver,0.0,0.1431614279784198,0.5726457119136792,2
delivery person,0.2281383874274903,0.060203185634515,0.190115322856242,6
tip more,0.0,0.3252867774622842,0.0,1
last time,0.1081335257406803,0.00466092783365,0.3728742266920011,6
order status,0.0489203454560146,0.0,0.5590896623544535,2
get food,0.1723222990214446,0.1023255704539692,0.1855778603989813,6
find option,0.0,0.2207065153801737,0.0,1
uber eats,0.0986781970582138,0.1350359895712637,0.2528132150476456,109
uber cash,0.0282540125703818,0.0419253089401245,0.4374814838317668,5
do anything,0.1020872106355937,0.0744841229112559,0.362337705242228,18
whole point,0.0,0.1813673954397748,0.0,2
ur food,0.0761493949867185,0.0545302259626687,0.3436177374354696,31
customer experience,0.2492947623679088,0.1064784407819393,0.0,3
something go,0.2656437008442407,0.013282185042212,0.0,3
screen shot,0.0,0.0,1.0621166466703835,1
delivery fee,0.0186791324544027,0.0462828683993083,0.4102083985696721,23
ur food,0.0745063763421481,0.0533536679878492,0.3362037540504403,31
great service,0.0,0.3836095505426113,0.0,1
live person,0.1083783253109784,0.0,0.0,2
be good,0.0,0.5708247282704711,0.0,4
uber eats,0.0918610843810281,0.1257071247984353,0.2353477948774263,109
ad be,0.0409176143310276,0.0,0.8183522866205537,5
last time,0.0987052032059555,0.0042545346209463,0.3403627696757085,6
say sorry,0.1249067429305968,0.0562080343187685,0.0,2
be closed,0.0747189477315997,0.0149437895463199,0.0,4
uber cash,0.0255715712792016,0.0379449121888195,0.3959469091077751,5
look good,0.0,0.3953593610178028,0.0,1
ur food,0.0704224376696737,0.0504291785855821,0.3177753244259422,31
subscription service,0.0,0.4043215450595175,0.0,1
hour late,0.0979561734818686,0.0007981878484719,0.3591845138531454,8
delivery time,0.1168003946816755,0.0284958292017475,0.3185465310948181,6
credit card,0.0406076475549925,0.058096998234047,0.2971291285961059,16
