index,app_name,r_id,review,review_sentiment,s_id,sentence,sentence_sentiment,feature,weight,rating
0,grubhub,203,"They force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors.",0.0,1402,"they force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors.",0.0,independent contractor,0.906655703,1
1,doordash,1121,I have been both a consumer and dasher and it's very convenient for a consumer if you are willing to pay the extra fee but it's also hard to tip so much extra for the dasher to make it worth while.,0.076388889,6656,again you are an independent contractor so you can get write offs.,0.0,independent contractor,0.906655703,4
9,grubhub,190,The app works fine.,0.416666667,1341,"my elderly mother did not get the food she wanted, and because we all purchased spicy items or other items she can't have, she had to eat crackers and tuna.",-0.125,elderly mother,1.178847804,1
11,grubhub,39,GrubHub has canceled 3 of my last 5 orders.,0.0,453,"i reached out to customer service and the agent, ralph, after i said that i got the text from shake shack still told me that my order was in the works and they hadn't assigned a driver as a result.",0.0,shake shack,1.524382361,1
12,grubhub,39,GrubHub has canceled 3 of my last 5 orders.,0.0,454,i said it wasn't still in the works because i received the text from shake shack that it was ready.,0.2,shake shack,1.524382361,1
13,grubhub,39,GrubHub has canceled 3 of my last 5 orders.,0.0,457,then they canceled my order meaning my order is sitting in shake shack being wasted and i don't have time for lunch.,-0.2,shake shack,1.524382361,1
17,ubereats,603,I've used this app to make probably over a hundred orders over the years..One of the reasons I was so happy to recommend it was my experiences with support.,0.8,3525,"15 til midnight and she is having a borderline blood sugar crisis, and i'm having to drive to taco bell because the original restaurant (bjs) is closed..support chat was entirely automated, or at least not literate.",0.025,taco bell,2.478866263,1
21,doordash,1205,"They always do everything right last time, always getting my order right, I just don't mind the missing items at all, but this time I'm quitting this app and uninstall it, one of the dasher's name is Vincent stolen my big meal order from Taco Bell, trying to trick into thinking it is here at my front of my doorstep but it's not, and never there so I cancel my subscription and everything else and never will come back here again, they needed a better dasher and higher security to prevent thefts from stealing our food that we ordered, such a ashame, never wanna use this again, I can see why the DoorDasher didn't even take a photo screenshot for proof that it is laying right in front of my doorstep….so it is definitely stolen, I looked everywhere for my meal even in the neighbor's next door house on the front of there doorstep… never again!!",0.117261905,7555,"they always do everything right last time, always getting my order right, i just don't mind the missing items at all, but this time i'm quitting this app and uninstall it, one of the dasher's name is vincent stolen my big meal order from taco bell, trying to trick into thinking it is here at my front of my doorstep but it's not, and never there so i cancel my subscription and everything else and never will come back here again, they needed a better dasher and higher security to prevent thefts from stealing our food that we ordered, such a ashame, never wanna use this again, i can see why the doordasher didn't even take a photo screenshot for proof that it is laying right in front of my doorstep….so it is definitely stolen, i looked everywhere for my meal even in the neighbor's next door house on the front of there doorstep… never again!!",0.117261905,taco bell,2.478866263,1
22,doordash,1216,YOU HAVE BEEN WARNED!,0.0,7654,i made an order with taco bell yesterday 6 am and waited an hour for the store to say they couldnt find my order-.- then later that day i made an order and my dasher with towards henderson instead of north las vegas and when he got to me half my food was missing and it was all cold.,-0.241666667,taco bell,2.478866263,1
29,grubhub,212,Not feeling well so have gotten grub hub this weekend for the family.,0.0,1454,the last time it took 2x the length of time it was suppose to and when it got here the ice cream was almost completely melted.,0.05,ice cream,2.057340818,1
