r_id,s_id,app_name,app_id,date,title,review,pos,tagged_sentences,rating
0,1,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i have been waiting for an hour so far for my lunch,"[('i', 'n'), ('have', 'v'), ('be', 'v'), ('wait', 'v'), ('hour', 'n'), ('lunch', 'n')]",i have be wait hour lunch,3
0,2,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,an hour after the delivery time which already was an hour,"[('hour', 'n'), ('delivery', 'n'), ('time', 'n'), ('be', 'v'), ('hour', 'n')]",hour delivery time be hour,3
0,3,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,2 hrs,"[('hr', 'n')]",hr,3
0,4,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,the driver made at least five other deliveries and she is not done yet,"[('driver', 'n'), ('make', 'v'), ('least', 'a'), ('other', 'a'), ('delivery', 'n'), ('be', 'v'), ('do', 'v')]",driver make least other delivery be do,3
0,5,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i am not paying extra per order to have my meal come straight to me,"[('i', 'n'), ('be', 'v'), ('pay', 'v'), ('extra', 'a'), ('order', 'n'), ('have', 'v'), ('meal', 'a'), ('come', 'a'), ('straight', 'n')]",i be pay extra order have meal come straight,3
0,6,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,she was at the restaurant quickly to pick my food up but then delivered to so many others2,"[('be', 'v'), ('restaurant', 'n'), ('pick', 'v'), ('food', 'n'), ('deliver', 'v'), ('many', 'a'), ('others2', 'n')]",be restaurant pick food deliver many others2,3
0,7,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,this is not the drivers fault,"[('be', 'v'), ('driver', 'n'), ('fault', 'v')]",be driver fault,3
0,8,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,if they agree to accept every delivery then it is what it is,"[('agree', 'v'), ('accept', 'v'), ('delivery', 'n'), ('be', 'v'), ('be', 'v')]",agree accept delivery be be,3
0,9,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,it is hit or miss if your food will be 20 mins or 2 hours,"[('be', 'v'), ('hit', 'v'), ('miss', 'v'), ('food', 'n'), ('be', 'v'), ('min', 'n'), ('hour', 'n')]",be hit miss food be min hour,3
0,10,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,for as much as you pay per order so everyone profits it is not worth waiting so long for the order,"[('much', 'a'), ('pay', 'v'), ('order', 'n'), ('everyone', 'n'), ('profit', 'n'), ('be', 'v'), ('worth', 'a'), ('wait', 'v'), ('order', 'n')]",much pay order everyone profit be worth wait order,3
0,11,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,and guaranteed it will be nice and cold,"[('guarantee', 'v'), ('be', 'v'), ('nice', 'a'), ('cold', 'a')]",guarantee be nice cold,3
0,12,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,or something will be missing,"[('something', 'n'), ('be', 'v'), ('miss', 'v')]",something be miss,3
0,13,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,refunding my money does not make my food good or help with a missing item,"[('refund', 'v'), ('money', 'n'), ('do', 'v'), ('make', 'v'), ('food', 'n'), ('good', 'n'), ('help', 'n'), ('miss', 'v'), ('item', 'n')]",refund money do make food good help miss item,3
0,14,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i have had to reorder from places to make sure i actually get what is correct,"[('i', 'n'), ('have', 'v'), ('have', 'v'), ('reorder', 'v'), ('place', 'n'), ('make', 'v'), ('sure', 'a'), ('i', 'n'), ('get', 'v'), ('be', 'v'), ('correct', 'a')]",i have have reorder place make sure i get be correct,3
0,15,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,anyone else have picky kids,"[('anyone', 'n'), ('have', 'v'), ('picky', 'a'), ('kid', 'n')]",anyone have picky kid,3
0,16,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,you cannot even eat and enjoy food when your childs does not come or has crap on it that you did not order3,"[('eat', 'v'), ('enjoy', 'v'), ('food', 'n'), ('child', 'n'), ('do', 'v'), ('come', 'v'), ('have', 'v'), ('crap', 'v'), ('do', 'v'), ('order3', 'v')]",eat enjoy food child do come have crap do order3,3
0,17,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,the area to leave directions to the house is way too small,"[('area', 'n'), ('leave', 'v'), ('direction', 'n'), ('house', 'n'), ('be', 'v'), ('way', 'n'), ('small', 'a')]",area leave direction house be way small,3
0,18,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,my neighbors are getting angry that cars are always at their house and i am getting annoyed trying to reduce the directions down to,"[('neighbor', 'n'), ('be', 'v'), ('get', 'v'), ('angry', 'a'), ('car', 'n'), ('be', 'v'), ('house', 'n'), ('i', 'n'), ('be', 'v'), ('get', 'v'), ('annoy', 'v'), ('try', 'v'), ('reduce', 'v'), ('direction', 'n')]",neighbor be get angry car be house i be get annoy try reduce direction,3
0,19,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,250 characters,"[('character', 'n')]",character,3
