app_name,r_id,review,review_sentiment,s_id,sentence,sentence_sentiment,feature,weight,rating,feature_frequency
grubhub,203,"They force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors.",0.0,1402,"they force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors.",0.0,independent contractor,0.906655703,1,2
grubhub,190,The app works fine.,0.416666667,1341,"my elderly mother did not get the food she wanted, and because we all purchased spicy items or other items she can't have, she had to eat crackers and tuna.",-0.125,elderly mother,1.178847804,1,1
grubhub,39,GrubHub has canceled 3 of my last 5 orders.,0.0,453,"i reached out to customer service and the agent, ralph, after i said that i got the text from shake shack still told me that my order was in the works and they hadn't assigned a driver as a result.",0.0,shake shack,1.524382361,1,3
ubereats,603,I've used this app to make probably over a hundred orders over the years..One of the reasons I was so happy to recommend it was my experiences with support.,0.8,3525,"15 til midnight and she is having a borderline blood sugar crisis, and i'm having to drive to taco bell because the original restaurant (bjs) is closed..support chat was entirely automated, or at least not literate.",0.025,taco bell,2.478866263,1,3
grubhub,212,Not feeling well so have gotten grub hub this weekend for the family.,0.0,1454,the last time it took 2x the length of time it was suppose to and when it got here the ice cream was almost completely melted.,0.05,ice cream,2.057340818,1,3
grubhub,20,We ordered lunch at 10:30 with an 11:15 expected delivery.,-0.1,261,i'm sorry but $10 is not enough to make up for the severe inconvenience and lack of ability to make it right in a timely manner.,-0.071428571,timely manner,2.398607558,1,6
ubereats,739,"I ordered from Burger King, and over an hour later the delivery driver told me the ""app did it wrong"" and he had the wrong order but support wasn't answering him.",-0.333333333,4521,"i ordered from burger king, and over an hour later the delivery driver told me the ""app did it wrong"" and he had the wrong order but support wasn't answering him.",-0.333333333,burger king,1.195259163,1,1
ubereats,788,"2 Days ago I put in a order to Uber eats, my driver canceled my order and claimed they attempted to call and get in touch with me but never did !",0.0,4849,"i then sent them screen shots of her cancellation of my order , they still continued to do nothing!",0.0,screen shot,2.798485711,1,1
grubhub,131,So basically they drivers can steal your whole meal or even half the meal you try to get a refund they going to say they can't cuz your account is under some suspicious activity's idk why y'all think y'all company is so perfect it's not y'all have people that steal food or wont bring you your food and or food made completely wrong so basically if you order something it's a high chance I might not get it or my order wrong so take my money and give me whatever and interrogate me like I did something wrong yall services are very bad,-0.152083333,1085,so basically they drivers can steal your whole meal or even half the meal you try to get a refund they going to say they can't cuz your account is under some suspicious activity's idk why y'all think y'all company is so perfect it's not y'all have people that steal food or wont bring you your food and or food made completely wrong so basically if you order something it's a high chance i might not get it or my order wrong so take my money and give me whatever and interrogate me like i did something wrong yall services are very bad,-0.152083333,suspicious activity,0.790860539,1,2
grubhub,73,This is somehow the worst delivery and customer service.,-1.0,713,the final straw was ordering food and then it being delivered almost an hour later where the food was cold and soggy.,-0.2,final straw,3.124699554,1,2
ubereats,621,It's so funny how my review got deleted.,0.25,3656,"i contacted uber and all uber could do for me was transfer me to a ""specialized team"" which they have no idea how long it can take to even get the problem situated.",-0.05,specialized team,0.970707976,1,3
doordash,1188,I've been using door dash for years.,0.0,7391,escalation team said to give them 48 hours to fix it and they will send an email.,0.0,escalation team,1.72285269,1,3
grubhub,226,I have caught them charging higher food costs than they quote on a regular basis.,0.125,1520,i have caught them charging higher food costs than they quote on a regular basis.,0.125,regular basis,1.25275595,1,1
grubhub,48,"Subway does this because it has franchises as individual owners, and screws the bottom line, but Arbys could easily get a boost in business if they put QR codes on their coupons.",0.216666667,523,"subway does this because it has franchises as individual owners, and screws the bottom line, but arbys could easily get a boost in business if they put qr codes on their coupons.",0.216666667,bottom line,1.283763687,1,2
grubhub,341,"My Mom ordered from GrubHub yesterday, And all I can say is that they had terrible customer service!",-1.0,2006,and last month when she ordered from grubhub the woman that was supposed to give us our food was going the opposite direction!,0.0,opposite direction,1.878628685,1,1
grubhub,86,"These delivery apps were incredibly convenient creations, however, it's absolutely ridiculous that they won't let you use promo codes unless you're a brand new customer.",0.234343434,791,"these delivery apps were incredibly convenient creations, however, it's absolutely ridiculous that they won't let you use promo codes unless you're a brand new customer.",0.234343434,promo code,1.203052803,2,3
ubereats,517,I was a Uber one member until it wouldn't let me add a payment method and I just couldn't use the app.,0.0,2691,i was a uber one member until it wouldn't let me add a payment method and i just couldn't use the app.,0.0,payment method,3.807209269,1,5
doordash,1120,I have been using DoorDash for a while now and it's only getting worse.,-0.2,6634,"the last time i ordered food, it was for my office, and it explicitly stated to walk inside the building and hand it to me or put it on the front desk.",0.0,front desk,1.713471756,2,2
