feature,dissatisfaction,satisfaction,neutral,frequency
store credit,0,0,10.347503670075652,1
delivery service,0.866351096631004,1.1408303691558443,0,9
whole day,0,0.7345155351047831,0,2
poor service,0.9125555938491221,0,0,3
be prepared,2.1838944121348773,0,0,2
low pay,0.09348228366226151,0,0,1
first time,0.01672458815008573,0.9308147203917582,0,16
last time,0.5436797260375164,0.02343447094989294,1.8747576759914353,6
first order,0.3764294640925073,0.9762838989634387,0,5
store close,0.19926255335061321,0,2.656834044674843,2
same price,0.1526520007448865,0.21807428677840932,0,3
poor service,0.6018494305134817,0,0,3
be nice,0,1.8873082412697137,0,6
star review,0,0.07757105555348653,2.0685614814263076,2
re order,0.19893478951467655,0.14756151927118596,1.8363211311565202,9
have drive,0,0.9748703637029035,0,2
uber eats,0.3491408729361705,0.4777811581711117,0.8944977636697458,109
extra money,0.354517819000097,0.5825272033104696,0,2
say sorry,0.4523321115010199,0.20354945017545895,0,2
grub hub,0.20171464241056467,0.184679560882546,1.6015571675451146,17
ur food,0.2410360569747763,0.17260479422427052,1.0876549255904828,31
delivery fee,0.05456191958176797,0.13519268894211395,1.1982225464249985,23
few time,0.23238637207434765,0.2572849119750256,0,3
pizza place,0,1.3833219098095166,0,2
be careful,0.28250940879133785,0,0,3
pizza place,0,1.2680574822835922,0,2
uber eats,0.23668815746101732,0.3238954552817006,0.6063942779185824,109
have multiple,0.18899716957780652,0,1.25998113051871,2
second time,0.12508492605895763,0,1.667799014119435,6
be good,0,1.3795122871917185,0,4
re order,0.11893933314536051,0.08822423037643848,1.0979015350373253,9
confirm order,0.7966347879001187,0,1.225591981384798,2
delivery fee,0.04225409868471758,0.10469655876845727,0.9279331466155673,23
hour late,0.24108513033778783,0.0019644624186806714,0.8840080442059,8
ur food,0.1631530753703069,0.11683315498434198,0.7362145244116718,31
delivery driver,0.0928102677034779,0.3948655028801536,0.8099805187285203,11
lose customer,0.8765559985673317,0,0,1
have drive,0,0.5147198590377937,0,2
be honest,0,0.8282351763651858,0,1
be deliver,0.0392014170699753,0.16205989039813734,0.8275398662149736,10
need help,0,0.51572209225251,1.03144418450502,2
arrival time,0.017120863568401003,0.205450362820812,0.68483454273604,3
be good,0,1.1228475434042295,0,4
quality food,0,2.000656102539688,0,1
be good,0,1.100259242569381,0,4
say help,0,0.4918584674232236,0.9837169348464472,2
first time,0.00578061230417444,0.3217226623051825,0,16
contact uber,0,0.19113387274479998,0,1
bottom line,0.7013083668954755,0.20260019519260775,0,2
uber eats,0.16523597221462158,0.22611684937462043,0.4233340152380167,109
original order,0,0.34409090358931455,0,2
delivery fee,0.031876579586189106,0.07898330083632596,0.7000346882195415,23
grub hub,0.10573229736386973,0.09680305809688482,0.8394845146613318,17
do anything,0.16277807711394124,0.11876494839585133,0.5777475411267994,18
next time,0,0.16682474917435702,0,1
first place,0.05220790848481274,0.278442178724889,0,4
do anything,0.15674014269537503,0.11435959490874385,0.5563171260140216,18
food quality,0,0.9156336999175827,0,1
allow driver,0,0,1.6564464080589856,1
many time,0,0.6267188984422926,0,7
different restaurant,0,0,1.6549556026257235,3
hour wait,0.03057091542440593,0.142664271980561,0.4076122056587458,4
group order,0,0.3254572059059378,0,1
missing item,0.2272585065923546,0.019029942189055113,0.08134937099113791,20
get money,0.49339105810150446,0,0,1
deliver food,0,0.17329186622345574,0.536645780380551,3
someone cancel,0.6228902277232803,0,0,1
delivery person,0.31386930569010796,0.08282662242207553,0.26155775474175663,6
new place,0,0.21364509137680446,0,1
delivery apps,0.07090449819465293,0.21217633938055017,0.25783453888964697,6
year old,0.4655997073361106,0,0,1
delivery fee,0.026980551384367488,0.06685199712094372,0.5925140689978595,23
reach customer,0.5016706895545848,0,0,1
something wrong,0.10730248767231512,0,0,1
good company,0,0.11216807666709869,0,1
order something,0,0.34843305657395646,0,3
uber eats,0.13359301468610899,0.18281510481291743,0.34226486252862925,109
food sit,0,0.10810952065477385,0.7374913041488395,2
spend hour,0,0,1.4719717360281916,1
late night,0.21968721450631293,0.22151794129386554,0,2
first time,0.004323278309895659,0.24061406206769004,0,16
use app,0.27475586704830657,0,0,1
last week,0,0,1.441182486579931,1
last time,0.13678165762255662,0.005895761104420544,0.47166088835364345,6
new customer,0,0.0868021686035139,0,1
first time,0.00412037551135706,0.22932141258696465,0,16
thing happen,0,0.18925257115804026,0,1
credit card,0.058373265207831974,0.08351410854574426,0.4271214529485859,16
many other,0,0.34303975460028446,0,4
hour late,0.13656005536983767,0.0011127484150147498,0.5007367617197993,8
be great,0,0.9904926667900091,0,3
full refund,0.03760971440168716,0.19274978630864667,0,7
home page,0.2320778502972968,0,0,2
uber eats,0.11500453845613566,0.1573777401551952,0.2946412478028358,109
be closed,0.09610745998948025,0.019221491997896047,0,4
delivery fee,0.02248451409638778,0.05571178476761784,0.49377756395332384,23
be separate,0.6235632864422505,0,0,1
be aware,0,0.23182618138276664,0,2
correct address,0.017245845285514004,0.016937883762558396,0.6159230459112144,4
original order,0,0.22850969752030917,0,2
wrong address,0.3517059353594584,0.020527843094192776,0,10
rate driver,0,0.5990850186186929,0,1
last few,0.28448494187682793,0,0,1
many people,0,0.36659740894113413,0,2
same thing,0.018350170443565385,0.11744109083881847,0.5872054541940923,4
many issue,0,0.21972747423416514,0,3
different driver,0,0.1431614279784198,0.5726457119136792,2
delivery person,0.22813838742749037,0.06020318563451507,0.190115322856242,6
tip more,0,0.32528677746228424,0,1
