extracted_features,meaningful,weight
social medium,,1.2005711864512416
independent contractor,,0.9066557029998552
holiday season,,1.4033170327489097
term condition,,0.7122378789247228
taste mouth,,0.6785518072704797
ring doorbell,,1.0293811842354494
elderly mother,,1.1788478039307226
shake shack,,1.5243823605957967
wan na,,0.5938638873562789
panda express,,1.1824251345050492
mac cheese,,1.1929484372455608
taco bell,,2.478866263424787
false advertising,,1.015484906776043
ice cream,,2.057340817821952
college student,,0.8663355746656036
timely manner,,2.3986075575448322
burger king,,1.1952591627115807
boneless wing,,1.201718226288858
screen shot,,2.7984857109296053
suspicious activity,,0.7908605387474212
final straw,,3.124699554259626
specialized team,,0.9707079761040145
escalation team,,1.7228526899501517
regular basis,,1.2527559499113292
bottom line,,1.2837636865018105
opposite direction,,1.8786286847676548
third party,,1.1526765667466103
promo code,,1.2030528031298255
apartment complex,,0.803066287094363
payment method,,3.807209268792275
front desk,,1.7134717564971704
chicken nugget,,1.2461063432862045
grub hub,,18.15553425578345
piece chicken,,1.6384969000312481
paper bag,,1.083946511876903
small percentage,,1.0849915848680436
empty hand,,1.1069116350493473
towards next,,1.0830166625657005
bag chip,,1.297406998881113
liquor store,,0.8188792529374007
hot fresh,,1.707480309134941
chicken sandwich,,1.873713670587574
speak english,,2.7486402303096913
speak spanish,,2.2023145130934636
google map,,0.781895845760399
plus membership,,1.3556433773864969
free trial,,2.311280413800918
automated system,,1.2066117371536416
hold accountable,,1.6558928116439482
apartment building,,0.9038607751626684
live activity,,1.0191507290480035
text shake,,0.9530788873629448
shop grocery,,0.6842891710331098
hard earn,,1.2186273448071956
parking lot,,2.218774056530682
real human,,1.4297968324103962
someone elses,,1.178980924338689
business bureau,,1.2917886231844162
business model,,0.8815385622245755
easy navigate,,1.7032816190451174
authorization hold,,1.158170763183474
negative rating,,1.0329231292480001
spend thousand,,1.4418668793735607
significant amount,,1.019207444302185
file complaint,,1.310801182931105
inflated price,,0.9015191929710256
high school,,0.9630064575101251
complete opposite,,0.7948580088502984
transfer supervisor,,0.7614357435066947
quality control,,0.765610895376708
hundred dollar,,0.9664049085940144
debit card,,3.1121692045047142
gift card,,12.435363707567843
answer question,,2.215219961653583
original estimate,,1.330446013168138
last resort,,1.4971823716295614
someone el,,1.6330102016903894
spill drink,,1.1564736284286654
dash pas,,11.570799172425104
jack price,,1.4243997878540866
cold nasty,,1.2198366284364408
late arrival,,2.947244999172466
home page,,1.4707855542353896
re open,,0.7904524149717673
follow simple,,1.4589026974627786
own risk,,1.2862547775122641
friend family,,1.1418869232472473
business practice,,1.5936458056779603
write review,,8.057814097001945
talk human,,1.4975080276924786
date night,,0.947118221947304
follow instruction,,3.430262595244789
lunch break,,0.8477762287061548
star rating,,2.0400224014162056
high level,,1.574252477259091
cart total,,0.9525279229425105
method payment,,1.1543482616654956
specific instruction,,1.254579721622322
door dash,,29.422539458107728
hidden fee,,1.0713954160540795
double check,,3.1887320074970136
click button,,0.8789974032870436
live apartment,,1.2492501429698748
low quality,,0.8397912459356804
credit towards,,0.7667258935280699
push notification,,1.3260832217433889
pick ups,,1.5811036952590451
drive thru,,0.8798353216477742
only solution,,1.6269614637293686
issue arise,,2.4943821905150014
multiple occasion,,2.0654620631077103
follow direction,,1.542351164527124
verification need,,1.057145048489155
speak supervisor,,2.1637429788524245
quick easy,,1.4253188825144703
ice cold,,2.907874729569645
solve problem,,2.393368683672868
apply coupon,,1.0544465535584662
submit complaint,,1.0040458479114331
take advantage,,3.722283525283051
renew dash,,1.1987759735579968
luck next,,1.9504221603055862
simple instruction,,0.9792229794729819
buy gift,,1.3202441310961979
cold soggy,,2.118445273378045
main reason,,0.874767037731611
exact same,,2.3289462666241634
shady business,,1.6216643164320848
missing item,,3.0104231619842774
provide proof,,1.190544006329934
include chicken,,0.9332468639757938
turn notification,,1.8557206695396211
recommend anyone,,2.0304765813337315
grocery store,,2.635849039348731
knock door,,1.5857355855745268
open box,,0.9171636069317127
someone hack,,1.2827152772746595
poor quality,,1.3762543296312453
confirmation email,,1.7691903479847908
true cost,,1.1567456185705165
big deal,,3.0423463435304408
help center,,1.5761151906589814
only reason,,4.4481160846005485
calculate tip,,1.1500193753854413
make sense,,7.571118090375999
owe money,,0.9506641525789219
full amount,,3.957027764542303
needless say,,1.7287292252830002
cover cost,,0.7267917886737114
last night,,4.56588321107263
last straw,,1.132801012488882
technical issue,,0.9672153931399934
neighbor house,,1.0301963466258246
please fix,,5.198398133014609
apple pay,,3.958637507675476
pay attention,,2.539682744882403
help section,,0.9937004981212096
stop respond,,1.0984420385371958
speak representative,,1.0210571538544748
edit tip,,2.4661153309941573
pay premium,,2.411834283031599
most part,,1.3008553571316854
accept cash,,1.1598646291044383
large amount,,0.706684360924292
uber eats,,73.54386499712982
go downhill,,1.99693899498404
offer compensation,,1.5650155709058307
location mile,,0.8059593695169879
card file,,1.3775006893362085
discount next,,1.3091416481710305
end conversation,,1.16443513396622
past couple,,0.8546532685856176
increase amount,,0.7065010170048345
front door,,3.5908555648106666
negative review,,0.8343319478264178
couple month,,1.578264711613491
sad see,,1.1913194558113402
good luck,,2.9685877983931106
ten minute,,0.9855504676743985
access account,,1.036545186731276
due poor,,1.0932331506152326
correct address,,2.7388338355831605
error message,,1.6008926680824485
real person,,1.4527686899355654
talk real,,0.8255215903214765
forget bring,,1.2203047220434295
answer phone,,2.343186941569761
go forth,,1.4051425852028452
deactivate account,,0.9689534235305214
convenience store,,1.542879537686978
partial refund,,3.8201366593492905
earn money,,1.8128794881165275
keep mind,,0.8402857749215628
chat feature,,1.3385261027139645
phone number,,2.099642082628569
add note,,1.455123751289154
same exact,,1.0791135870630677
end chat,,7.136886140222473
send picture,,2.677542223300991
eligible refund,,3.840525753761028
know man,,0.9447691797261601
