date,developerResponse,review,rating,isEdited,title,userName,app_name,app_id
2022-10-06 18:04:56,"{'id': 32452187, 'body': 'Hello Jaystikibar, Thank you for taking the time to provide feedback about your experience. We’re sorry to hear your order didn’t go as planned. Please contact us at grubhub.com/help.contact-us so we can look into this for you.', 'modified': '2022-10-08T02:33:52Z'}","1. I’ve been waiting for an hour so far for my lunch. An hour after the delivery time which already was an hour! 2 hrs! The driver made at least FIVE other deliveries and she’s not done yet. I’m not paying extra per order to have my meal come straight to me. She was at the restaurant quickly to pick my food up but then delivered to so many others!
2. This is not the drivers fault. If they agree to accept every delivery then it is what it is. It’s hit or miss if your food will be 20 mins or 2 hours. For as much as you pay per order so everyone profits, it’s not worth waiting so long for the order. And guaranteed it’ll be nice and cold. 😠 or something will be missing. Refunding my money doesn’t make my food good or help with a missing item. I’ve had to reorder from places to make sure I actually get what is correct. Anyone else have picky kids?? You can’t even eat and enjoy food when your child’s doesn’t come or has crap on it that you didn’t order!!
3. The area to leave directions to the house is way too small. My neighbors are getting angry that cars are always at their house and I’m getting annoyed trying to reduce the directions down to. 250 characters. So if it’s not clear, the drivers get confused and my neighbors and I are annoyed. Whose fault?? FIX IT.",3,False,Drivers are doing too much,Jaystikibar,grubhub,302920553
2022-11-06 07:44:28,"{'id': 33050857, 'body': 'Hello Prima26, Thank you for taking the time to provide feedback about your experience. We’re sorry to hear your order didn’t go as planned. Please contact us at grubhub.com/help.contact-us so we can look into this for you.', 'modified': '2022-11-08T21:29:07Z'}","They blocked my account in sept I have followed the email steps and still have not yet received any response. They will block you for any little thing especially when some things are out of your control. For example I will have two deliveries my first delivery pick up would be my last drop off. The time stamp would be to drop my second delivery off first at 3:38 but my first delivery time stamp would be 3:36 how is that even possible ? I had NUMEROUS deliveries like this one. They will constantly send me alerts about delivering orders late, but how when this is what the apps/system suggests me to do. I’m only following what’s giving to me. Also you would get a delivery request but the restaurant would just be getting it when you arrive and you’ll have to wait for the order to be done. I put in the app “order not started until I arrived “ you would think they will adjust your time stamp to deliver. You can’t put a time on how fast food is prepared. A lot of things needs to be updated so future drivers like myself won’t have such a headache when trying to make a living. I started this in July and I’m already blocked in September and as of currently still no response or update regarding my account. You guys should get customer service employee’s to help with blocked accounts instead of having drivers waiting and responding to emails that never receive a reply!",1,False,Will block you for anything,Prima26,grubhub,302920553
2022-09-26 16:54:30,"{'id': 32219231, 'body': 'Hello Carriejk19, Thank you for taking the time to provide feedback about your experience. We’re sorry to hear you had some unauthorized activity on your account. Please contact us at grubhub.com/help.contact-us so we can look into this for you.', 'modified': '2022-09-26T16:54:31Z'}","I’ve used GrubHub for years and thought it was great! Unfortunately, my account got hacked and someone used my account to order $40 worth of food and then changed the email on the account so they could change the password. As soon as I noticed the charges and reported it to Customer Care, I got an email saying they moved my inquiry to “priority” due to the serious nature of the concern and that they would be in contact with me shortly. The email also suggested I reset my password if possible, but I can’t since the hacker changed my account info. Days go by and nothing. I sent an email on the same thread asking for an update and a refund and still nothing. It’s been about 2 weeks and I still have not received a response. I was able to remove my payment from my account, luckily, but now I still can’t use my account because of the account log in change.

EDIT:
The same day I posted this review, GrubHub got back to me and sent me a refund and helped solve my issue so I adjusted my rating. I do think that serious matters like this should be handled quicker, but do appreciate them handling the situation in a fair manner.",4,True,Used to love GrubHub until I was hacked,Carriejk19,grubhub,302920553
2022-09-26 20:18:27,"{'id': 32334890, 'body': 'Thank you for taking the time to provide feedback. Please visit\xa0https://www.grubhub.com/help/contact-us\xa0so we can look into this for you.', 'modified': '2022-10-01T16:35:39Z'}","Today is Monday, September 26, 2022, and this is the second time that I have had an issue with GrubHub delivery. I’ve been tracking this driver and he or she has been driving around in my neighborhood and didn’t even bother to  get to my address so therefore I felt that my food would’ve  been cold upon arrival and now it was abruptly cancelled, so now I am re-ordering once  again.😡 I am a senior citizen and I am disabled, the name of the complex is Mayflower Gardens Senior Apartments. I wished that the driver would keep in mind that some of us older customers are not as quick to get to the door and we are not dumb or stupid. I know know how to read apps, and I know my directions,when they come, and some of them in the past will abruptly leave your order at the door on the ground and not even bother to knock. I am requesting a re-order once again because I have tracked the last driver and he or she was in my neighborhood and I’m not sure if they were lost or not but it would be nice if they were use the GPS system more effectively so that they can find my address. Please know that  is why I am really hesitant to order with you in the near future if this continues to happen. Needless to say I am not happy at this time.I noticed that a female driver will be delivering my order shortly and I hope that it’ll arrive in time.",1,False,"So far, so Good!",Neaj 62,grubhub,302920553
2022-11-01 20:34:29,"{'id': 32941419, 'body': 'Thank you for taking the time to provide feedback about your experience. We’re sorry to hear your order didn’t go as planned. Please contact Customer Care at http://grubhub.com/help/contact-us. so we can look into this for you.', 'modified': '2022-11-03T01:39:05Z'}","This company is one of the worst I’ve ever dealt with.  Late all the time. Often the math doesn’t add up.  They gave me a $5 promo for being late but it only gave me $1 and change off.  Sketchy.   The order will come to one thing but they charge the bank another.  I canceled last yr but ended up with a free year long plus membership then I got hurt so can’t drive so I use it a lot now.  It’s rare I have a seamless order.  Just now I’m waiting for my food for an hr get a call from a man I couldn’t understand and he just hangs up on me when I said sorry I didn’t catch that.  Very thick accent in a very loud call center.   Then I see my order was canceled I had promos on the order from the last time they messed up and now those aren’t valid.  I reordered from another restaurant and the driver didn’t bring the drinks,  give us forks or sauce.  Also knocked when I said to no contact.  I had one driver last year flip off my camera for absolutely no reason. I tip 25%.   I definitely won’t be using it after my free year ends this February.  I was formally a paid Grubhub + customer.  I order out probably 15 to 20 times a month due to my physical pain.  It’s easier than cooking and cleaning dishes.   But I’ll  find other ways like pizza delivery or DoorDash. Which isn’t much better but still better.",1,False,Ugh,iser of said thing,grubhub,302920553
2022-11-06 22:35:01,"{'id': 33052225, 'body': 'Hi ,\n\nThank you for taking the time to share your experience with us. I am so sorry that our process of placing an order did not meet your expectations. This is definitely not the experience we want you to have with Grubhub.\n\nI have escalated this issue to the right team at Grubhub so that the appropriate steps can be taken to remedy this issue moving forward.\n\nThank you again for your time and please let us know if we can help with anything else.\n\nSincerely,\n\nOlivia\xa0\nGrubhub', 'modified': '2022-11-08T23:26:31Z'}","I don’t use Grubhub much but when I do use it, it’s always a problem placing an order. I spent over an hour trying to place an order and my order kept being cancelled for no reason. I tried different restaurants, different payment cards, tried the app and internet browser but no luck. The generic and un useful message I would get would be “Reason for cancellation: Unfortunately, we're unable to fulfill this order” and that’s all. Another brief message I would get is to call customer service if the problem continues but could not find a customer service number anywhere. I finally found the customer service number by reading the reviews, I called and the customer service person working from home had a rooster that can be heard in the background. The rep did not offer any troubleshooting and or solution to get my order, only said he would escalated to a supervisor and it can take up to 24hrs for them to get back to me or resolve it. ??? The only solution I given to me was that I can go in person to the restaurant or call them directly. I wanted the convenience of not going out and having my food delivered but it turned into a mission. I used a different app and I was able to place an order without any problems.",1,False,Was not able to place an order,HungryOnMission,grubhub,302920553
2022-12-02 03:33:20,"{'id': 33578732, 'body': 'Hello SDEGDRDII,\n\nThank you for taking the time to provide feedback about your experience. We’re sorry to hear your order didn’t go as planned. Please contact us at grubhub.com/help.contact-us so we can look into this for you.', 'modified': '2022-12-07T03:32:36Z'}","Terrible service, terrible customer service. Order from restaurant website it defaulted to grub hub for delivery. I ordered and received a time range for delivery of 6:35-6:45 pm. Order did not arrive until 8:03pm. Food was worse than cold. The app showed driver 45 min away enroute to order. Then showed driver in another parking lot down the road hovering forever. I messaged driver he said he was “waiting”. I called restaurant my order was ready. No one was there waiting to pick up. Asked if I could get my food remade as it was ready for quite some time but I would have to reorder and repurchase. Tried to cancel through grub hub. Could never get through. The queue had over 300 people in it. Called driver he was picking up order but had to wait for another persons and couldn’t leave until theirs was done. Took him 30 min to get 5 miles down the road the app showed him lost and hovering in random parts of our neighborhood. Food received was cold and soggy. Contacted customer service chat they adjusted the wrong item to refund for $3+. I asked for a full refund. Sent me to a different chat with 100+ in queue just to delete me out of chat completely. Will never use Grub hub again. Door Dash is much more efficient and has better help and customer service.",1,False,Would give a zero if I could!,SDEGDRDII,grubhub,302920553
2022-09-20 03:35:53,"{'id': 32216749, 'body': 'Thank you for taking the time to provide feedback. Please visit\xa0https://www.grubhub.com/help/contact-us\xa0so we can look into this for you.', 'modified': '2022-09-25T16:02:25Z'}","I ordered Wendy’s one night at around 10:00 - 10:15, and they had to delay my order for about 30 minutes, which i get, stuff happens ya know it can’t always be perfect. And then I get another delay, and then another, next thing I know my order is not going to arrive until an hour and a half past when it was originally going to arrive. I noticed that when I went to the Home Screen where all the restaurants are, they had all closed. When I searched places such as insomnia cookie, which stays open very late, it said they were still open but it wasn’t appearing on the Home Screen. This meant there were no delivery drivers to actually deliver my order now and Grubhub does not know how to handle this when it happens. I contacted support and was told my order could not be cancelled but could instead receive a 10% discount . . . Woo. I attempted to contact support multiple times after but for some reason it would not reconnect me to anyone else, I did get reconnected to one person, however they said nothing the entire time, and after sitting in the call for about 5 minutes with no response, I left. This is definitely up there with some of the worst experiences I’ve had with delivery services, I was honestly kinda impressed.",1,False,Grub Hub is not 24/7,Iron finder,grubhub,302920553
2022-09-28 01:20:41,"{'id': 32345507, 'body': 'Hello Rdjswife, thank you for taking the time to provide feedback about your experience. We’re sorry to hear your order didn’t go as planned. Please contact us at\xa0grubhub.com/help.contact-us (http://grubhub.com/help.contact-us)\xa0so we can look into this for you.', 'modified': '2022-10-02T21:19:52Z'}","Time and time again GrubHub disappoints me. I order food, leave clear written instructions about where I live and never select “Contact free delivery” because I know the app is going to navigate the driver somewhere else. Why?! I have no idea!! There are a select few drivers who go above and beyond. If they can’t find my residence, they call me, ask questions and eventually deliver my food. I always tip the drivers because I appreciate them delivering my food. However, there are some drivers who don’t even attempt to deliver my food, don’t go above and beyond to make sure I get what I ordered and are either rude or don’t answer my calls/texts after they’ve dropped off my food at the door but it’s nowhere to be found. It is a waste of time, money and food ordering through GrubHub. Yes, my money gets refunded when I contact customer support. What I’d like to know is why don’t they update their apps navigation to prevent the drivers from not being able to find the home? Why don’t the drivers go out of their way to contact the customer? Why don’t the drivers respond to texts or calls? It’s beyond aggravating going through this time and time again. I’m deleting this and going to use Uber Eats or Door Dash instead.",1,False,Worst Food Delivery App,rdjswife,grubhub,302920553
2022-09-12 02:06:49,,"I agree with the reviewer who said that customer service only response is to refund your $ but not to make it right.
 In this post Covid job apocalypseIt would be better if a company with his big name in food delivery as GrubHub, would value their drivers and delivery people a little higher and give them credit for doing the job that they are doing. I wouldn’t do the job myself but I’m glad there are people who do since I am a handicap shut in.
But I’ve struggled with Walmart over almost 3 months to get them to honor the price quoted by one of their vendors. Apparently there are no companies anymore who value and honor their employees. The bigger they are the less they care.  
I wish there were someone out there who would create a delivery service where the money went all to the restaurant and  drivers and all the service did was broker their services.
Alas we do not live in that world. For whatever it’s worth GrubHub seems to serve things up just as well as any other delivery service I had to use.",4,False,Money back true but…,woundrn1992,grubhub,302920553
