feature,cluster,feature_dissatisfaction,feature_satisfaction,feature_neutral,feature_frequency
delivery service,1,0.3967000839496163,0.5702281205188852,0.0,9
whole day,5,0.0,0.367137327685837,0.0,2
poor service,4,0.4178570121240653,0.0,0.0,3
be prepared,3,1.0,0.0,0.0,2
low pay,0,0.042805312904701,0.0,0.0,1
first time,5,0.0076581486985611,0.4652547327899864,0.0,16
last time,4,0.2489496392392155,0.0117133928815374,0.705635972916358,6
first order,5,0.1723661464587597,0.4879818664107825,0.0,5
store close,0,0.0912418440394391,0.0,1.0,2
same price,2,0.0698989840793908,0.109001385346327,0.0,3
poor service,4,0.2755854070459114,0.0,0.0,3
be nice,1,0.0,0.9433446552228104,0.0,6
star review,0,0.0,0.0387728083077424,0.7785813666353667,2
re order,2,0.0910917617670932,0.0737565637012114,0.6911689252240286,9
have drive,5,0.0,0.4872753305604977,0.0,2
uber eats,2,0.1598707661854705,0.2388122364281413,0.3366780719565866,109
extra money,5,0.1623328568589249,0.2911680835956732,0.0,2
say sorry,4,0.2071217861942511,0.1017413487090897,0.0,2
grub hub,2,0.0923646497237828,0.092309498193172,0.6028066264639881,17
ur food,2,0.1103698309018293,0.0862740947857861,0.4093800769267076,31
delivery fee,2,0.024983771778797,0.0675741766765895,0.4509963837698576,23
few time,2,0.1064091609846545,0.1286002685061271,0.0,3
pizza place,1,0.0,0.6914341290607064,0.0,2
be careful,4,0.1293603789732532,0.0,0.0,3
pizza place,1,0.0,0.6338208154184445,0.0,2
uber eats,2,0.108378938169287,0.1618946179058653,0.2282394262200882,109
have multiple,0,0.0865413494936558,0.0,0.4742415632034379,2
second time,0,0.0572760868675332,0.0,0.6277392513327075,6
be good,1,0.0,0.689529942422652,0.0,4
re order,0,0.0544620346498761,0.0440976488985009,0.4132367760183877,9
confirm order,4,0.3647771538191556,0.0,0.461297905995025,2
delivery fee,0,0.0193480501849958,0.052331112096453,0.3492627431794041,23
hour late,4,0.1103923014767521,0.0009819090928155,0.3327298692132234,8
ur food,0,0.074707400899852,0.0583974201443369,0.2771021870512705,31
delivery driver,2,0.0424975984130802,0.197368004615536,0.3048668095592888,11
lose customer,4,0.4013728840079085,0.0,0.0,1
have drive,2,0.0,0.2572755299545954,0.0,2
be honest,5,0.0,0.4139817809336653,0.0,1
be deliver,2,0.0179502346139774,0.081003371940042,0.3114759342510051,10
need help,2,0.0,0.2577764822239255,0.3882230380826264,2
arrival time,2,0.0078396022597376,0.102691493335615,0.2577633872573526,3
be good,5,0.0,0.5612396563201721,0.0,4
quality food,1,0.0,1.0,0.0,1
be good,5,0.0,0.5499492097480829,0.0,4
say help,2,0.0,0.2458485827718441,0.3702590821651563,2
first time,2,0.0026469284742221,0.1608085776944767,0.0,16
contact uber,2,0.0,0.0955355957988828,0.0,1
bottom line,4,0.3211274148597265,0.1012668768687539,0.0,2
uber eats,2,0.0756611543564023,0.1130213478906152,0.1593377712418716,109
original order,2,0.0,0.1719890305747779,0.0,2
delivery fee,0,0.0145962091432011,0.0394786993806993,0.2634845370273082,23
grub hub,0,0.0484145647227104,0.0483856560725255,0.3159717545564922,17
do anything,0,0.0745356900999699,0.0593630000903642,0.2174571431304837,18
next time,2,0.0,0.0833850200254731,0.0,1
first place,2,0.0239058757578744,0.1391754326850211,0.0,4
do anything,0,0.0717709344483156,0.0571610457007441,0.2093909956961977,18
food quality,5,0.0,0.4576667118128159,0.0,1
many time,5,0.0,0.3132566849678554,0.0,7
hour wait,2,0.0139983486630753,0.0713087430665665,0.1534202734550669,4
group order,2,0.0,0.1626752371348546,0.0,1
missing item,4,0.1040611237107369,0.0095118507198203,0.0306189131963994,20
get money,4,0.2259225791136978,0.0,0.0,1
deliver food,2,0.0,0.0866175181249162,0.2019869406055539,3
someone cancel,4,0.2852199374943089,0.0,0.0,1
