r_id,reference_review
203,"They force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors."
203,This company should not be in business for breaking labor laws continuously and people shouldn't drive for them because they will take advantage of you.
1121,I have been both a consumer and dasher and it's very convenient for a consumer if you are willing to pay the extra fee but it's also hard to tip so much extra for the dasher to make it worth while.
1121,As a previous dasher I know that it is hard to even call it a side hustle.
1121,"Most consumers are reluctant to leave a tip and when they do it's minimal, but I understand as a consumer that it's hard to pay a big tip when you order something and the price is twice as much as item you paid for just because door dash charges extra."
1121,Then you have you tile the driver because trust be they don't make much without a tip.
1121,Please tip big for these dashers if they do a good job so there is more value in it.
1121,"Remember, door dah doesn't pay for gas, insurance, maintenance or anything."
1121,Yes dashers get a tax write off but it's not exactly the same.
1121,"..Also, if you are a dasher you may want to try instacart instead if it is popular in your city."
1121,Especially in the winter.
1121,It's pays better and it keeps you more active throughout the day.
1121,I made way more doing instacart when I was trying both.
1121,Around $20 and hour.
1121,Again you are an independent contractor so you can get write offs.
1121,"I personally wrote off all of my taxes as a instacarter and make about 40,000 a year gross income."
1228,"First off, $42 for 2 sandwiches."
1228,"Not fancy sandwiches, we're talking run of the mill sandwich shop on the corner sandwiches."
1228,That's not counting a tip or the delivery fee.
1228,The sandwiches at the store don't even cost half this amount.
1228,"In fact, for this amount I could get 2 more sandwiches or at least 4 sides."
1228,"This is literally price gouging and should be removed from the Apple Store...Keep in mind that your delivery person through DoorDash is an ""independent contractor""."
1228,"What this means is limited background information, questionable ethics, minimal control over individual delivery persons on DoorDash's end, and of course DoorDash enjoys limited liability because their delivery contractors are not employees of DoorDash."
1228,Sketchy practices at best.
1228,"Fake reviews on the App Store should be a big red flag, but big tech allows it."
1228,Really wish COVID hadn't given them such a boom in business.
1228,Companies with shady practices like this deserve to drown.
14,I've never used meal delivery services that require a membership to be more affordable.
14,"But not having to leave my house to shop for groceries and then spend time and effort making meals has been surprisingly rewarding!..Grubhub has changed the way I feel about ""being too lazy"" to do it myself, because the convenience is a justified reward for worn out full time parents, the elderly and disabled people."
