r_id,s_id,sentence,sentence_sentiment
203,1402,"They force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors.",0.0
1121,6656,Again you are an independent contractor so you can get write offs.,0.0
1228,7744,"This is literally price gouging and should be removed from the Apple Store...Keep in mind that your delivery person through DoorDash is an ""independent contractor"".",0.0
14,201,"Average time from submitting an order to delivery at your door is about 20-35 minutes, or 40-50 during holiday seasons.",-0.15
29,367,I first used Grubhub last holiday season!,0.125
527,2804,"UberEATS doesn't protect its users… I ordered delivery over the weekend, when my food arrived, I noticed the restaurant overcharged me for an item (I paid for 50 frozen cheese breads in preparation for the holiday season and only received 12).",0.0
535,2906,"Average time from submitting an order to delivery at your door is about 20-35 minutes, or 40-50 during holiday seasons.",-0.15
960,5825,I have a ring doorbell camera and a detailed description in my notes of my house.,0.4
85,783,"Recently, I placed an order for my elderly mother.",0.0
183,1305,"Thank you to a great concept, it helps my sister and I get good hot food to our elderly Mother and her mentally challenged sister.",0.4125
190,1341,"My elderly mother did not get the food she wanted, and because we all purchased spicy items or other items she can't have, she had to eat crackers and tuna.",-0.125
39,451,"Today, I ordered from shake shack and got a text from shake shack that my order was ready.",0.2
39,453,"I reached out to customer service and the agent, Ralph, after I said that I got the text from shake shack still told me that my order was in the works and they hadn't assigned a driver as a result.",0.0
39,454,I said it wasn't still in the works because I received the text from shake shack that it was ready.,0.2
39,457,THEN they canceled my order meaning my order is sitting in shake shack being wasted and I don't have time for lunch.,-0.2
714,4363,But the last time I ordered from Panda Express was less then pleasant.,0.1888888888888888
714,4368,I ordered from Panda Express today again and this will be my last if the quality and quantity isn't there.,0.0
785,4823,Ordered a Panda Express meal which included around a $15 entree.,0.0
603,3525,"15 til midnight and she is having a borderline blood sugar crisis, and I'm having to drive to Taco Bell because the original restaurant (BJs) is closed..Support chat was entirely automated, or at least not literate.",0.025
768,4717,A $10 order from Taco Bell costed me $23 in the end and that's with Uber One which is suppose to be less or no delivery fees?,-0.1666666666666666
863,5301,I did not receive half my order had to order again cz nothings open that late besides Taco Bell!,-0.1805555555555555
1027,6226,I ordered taco bell and got 4 things of nacho cheese and even ordered extra cheese.,0.0
1205,7555,"They always do everything right last time, always getting my order right, I just don't mind the missing items at all, but this time I'm quitting this app and uninstall it, one of the dasher's name is Vincent stolen my big meal order from Taco Bell, trying to trick into thinking it is here at my front of my doorstep but it's not, and never there so I cancel my subscription and everything else and never will come back here again, they needed a better dasher and higher security to prevent thefts from stealing our food that we ordered, such a ashame, never wanna use this again, I can see why the DoorDasher didn't even take a photo screenshot for proof that it is laying right in front of my doorstep….so it is definitely stolen, I looked everywhere for my meal even in the neighbor's next door house on the front of there doorstep… never again!!",0.1172619047619047
1216,7654,i made an order with taco bell yesterday 6 am and waited an hour for the store to say they couldnt find my order-.- THEN later that day i made an order and my dasher with towards henderson instead of north las vegas and when he got to me half my food was missing and it was all cold.,-0.2416666666666666
1260,8054,"Though, I feel like there could be some ways the communication between the dasher and their customer(s) can be better...• a way to see how busy an area is when ordering to get a rough gauge of how long the delivery may take..• a pop up of sorts, that would encourage a customer to tip more if an area or specific restaurant has long wait times, like for Taco Bell at night time.",0.0666666666666666
1283,8210,It's getting annoying...Started ordering from this Taco Bell that constantly messed up my orders.,0.0
1311,8412,3 Taco Bell items for $31 ?,0.0
605,3543,"I then tried getting connected to support to be refunded the ""priority delivery"" cost, since that was false advertising.",-0.4000000000000001
605,3549,Because of .A) False Advertising and .B) Unhelpful and Lazy Staff .I immediately deleted my Uber Eats app.,-0.325
978,5933,This is false advertising and deceiving people and shows no respect or concern for any customers .,-0.4000000000000001
212,1454,The last time it took 2x the length of time it was suppose to and when it got here the ice cream was almost completely melted.,0.05
555,3103,"In addition, one pint of ice cream was missing it's safety seal.",-0.2
790,4864,"I ordered a pint of ice cream, and seconds later tried to cancel and change my order.",0.0
937,5692,"I just had some ice cream delivered to my clients house for getting under contract in the sale of their home..They were given a brown paper bag with the ice cream in it, and ‘Angel B' written On the bag, and THEN they were given a flyer for the driver's animal aromatherapy business...Excuse me!?!",0.0
937,5695,"They said they were like, ‘Is the ice cream therapy for our dog?",0.0
1123,6681,That has even happened when I've ordered things such as ice cream.,0.0
48,526,"Plus, it gives the coupons people usually throw away a solid use, while also giving people a means to get their money's worth...If college students get a ton of these in their mail every week, then why not make them worth the gas, paper, and landfill waste?",-0.0375
792,4878,I am a college student who was recently on fall break at home.,0.0
996,6022,"I used to enjoy this app as a college student, but the last food order I had came ice cold and Uber did not do anything to fix the problem.",-0.0666666666666666
20,261,I'm sorry but $10 is not enough to make up for the severe inconvenience and lack of ability to make it right in a timely manner.,-0.0714285714285714
29,365,I get my orders in a timely manner and the food is hot and the drinks are cold - winter and summer!,-0.25
245,1595,GrubHub has the best drivers GrubHub brings the best food and it does it in a timely manner there's just something about Grubhub that I can't live without absolutely love it.,0.6590909090909091
602,3513,"Explicitly stated, your customer base is interested in exchanging money for food, delivered in a timely manner.",-0.275
638,3793,When we called them they said they could give us a refund for the wings but would give us no actual help with getting our food in a timely manner.,0.0
828,5084,I don't wanna down rate the drivers but there should be a limit so people are getting their food in a timely manner.,-0.1555555555555555
838,5133,"I understand that certain things need to be reviewed, but places like DoorDash have been able to go over what happened with me in a timely manner.",0.3571428571428571
1077,6460,"You cannot receive a refund for a canceled order because they took too long to TRY and locate a driver..I will reiterate, USE A COMPETITOR to deliver you food in a safe and timely manner!.Location: major metropolitan city in the southwest.",0.1708333333333333
1196,7476,"But it becomes problematic for the food temperature, and because the food ordered from DoorDash is more expensive than ordering pick-up from the restaurant app directly, it's expected that the orders will come correctly, in a timely manner, and warm.",0.125
1202,7525,"As a merchant; if the first driver cancels after they have already picked it up, why not notify the restaurant so we can remake in a timely manner for the next driver, and the customer??",0.125
695,4241,My Burger King order was 50 minutes late (11:15) from being picked up so I decided to cancel and order at another place.,-0.3
739,4521,"I ordered from Burger King, and over an hour later the delivery driver told me the ""app did it wrong"" and he had the wrong order but support wasn't answering him.",-0.3333333333333333
739,4522,"He dropped it off anyway, it wasn't even from Burger King.",0.0
644,3852,I order 16 bone-in wings and 22 boneless wings.,0.0
644,3855,"I went to eat, opened one package and found 1/2 an order of boneless wings.",0.0
644,3859,I opened the second package and found the other half of the boneless wings.,-0.0972222222222222
517,2693,"When finally asked for a screen shot of the issue, it accidentally finally worked with one payment method and accidentally signed me up for a year which I didn't want.",0.0
579,3320,"I have screen shots, refunded my money and disconnected the chat.",0.0
735,4498,.I have screen shots of the whole conversation with this worthless humans.,-0.3
788,4849,"I then sent them screen shots of her cancellation of my order , they still continued to do nothing!",0.0
824,5058,Want screen shots of the conversation?,0.0
889,5444,Have screen shots can send.,0.0
1037,6281,"Took screen shots of the order, with details of what is on pizza.",0.0
131,1085,So basically they drivers can steal your whole meal or even half the meal you try to get a refund they going to say they can't cuz your account is under some suspicious activity's idk why y'all think y'all company is so perfect it's not y'all have people that steal food or wont bring you your food and or food made completely wrong so basically if you order something it's a high chance I might not get it or my order wrong so take my money and give me whatever and interrogate me like I did something wrong yall services are very bad,-0.1520833333333333
328,1956,Account gets flagged and frozen for normal use of having food delivered but they claim suspicious activity.,0.15
846,5177,"My phone got ""suspicious activity"" on it so I can't use it ever again for Uber when I don't feel like I did anything wrong.",-0.5
46,511,The final straw was getting the wrong food from a different restaurant that contained food I'm allergic to and having Bryon tell me I'll get my money back within 3-5 business days.,-0.125
73,713,The final straw was ordering food and then it being delivered almost an hour later where the food was cold and soggy.,-0.1999999999999999
76,731,"They dropped it off at tool rental or the pro desk, sometimes nasty to my co workers, before leaving...The final straw for this app I had was that I put my house as the address and the food was delivered to my work instead.",-0.5
536,2921,This was the final straw in a long line of issues that has led me to this point.,-0.025
