s_id,r_id,app_name,app_id,date,title,review,pos,rating
1,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i have been waiting for an hour so far for my lunch,"[('i', 'n'), ('have', 'v'), ('be', 'v'), ('wait', 'v'), ('hour', 'n'), ('lunch', 'n')]",3
2,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,an hour after the delivery time which already was an hour,"[('hour', 'n'), ('delivery', 'n'), ('time', 'n'), ('be', 'v'), ('hour', 'n')]",3
3,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,2 hrs,"[('hr', 'n')]",3
4,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,the driver made at least five other deliveries and she is not done yet,"[('driver', 'n'), ('make', 'v'), ('least', 'a'), ('other', 'a'), ('delivery', 'n'), ('be', 'v'), ('do', 'v')]",3
5,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i am not paying extra per order to have my meal come straight to me,"[('i', 'n'), ('be', 'v'), ('pay', 'v'), ('extra', 'a'), ('order', 'n'), ('have', 'v'), ('meal', 'a'), ('come', 'a'), ('straight', 'n')]",3
6,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,she was at the restaurant quickly to pick my food up but then delivered to so many others2,"[('be', 'v'), ('restaurant', 'n'), ('pick', 'v'), ('food', 'n'), ('deliver', 'v'), ('many', 'a'), ('others2', 'n')]",3
7,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,this is not the drivers fault,"[('be', 'v'), ('driver', 'n'), ('fault', 'v')]",3
8,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,if they agree to accept every delivery then it is what it is,"[('agree', 'v'), ('accept', 'v'), ('delivery', 'n'), ('be', 'v'), ('be', 'v')]",3
9,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,it is hit or miss if your food will be 20 mins or 2 hours,"[('be', 'v'), ('hit', 'v'), ('miss', 'v'), ('food', 'n'), ('be', 'v'), ('min', 'n'), ('hour', 'n')]",3
10,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,for as much as you pay per order so everyone profits it is not worth waiting so long for the order,"[('much', 'a'), ('pay', 'v'), ('order', 'n'), ('everyone', 'n'), ('profit', 'n'), ('be', 'v'), ('worth', 'a'), ('wait', 'v'), ('order', 'n')]",3
11,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,and guaranteed it will be nice and cold,"[('guarantee', 'v'), ('be', 'v'), ('nice', 'a'), ('cold', 'a')]",3
12,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,or something will be missing,"[('something', 'n'), ('be', 'v'), ('miss', 'v')]",3
13,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,refunding my money does not make my food good or help with a missing item,"[('refund', 'v'), ('money', 'n'), ('do', 'v'), ('make', 'v'), ('food', 'n'), ('good', 'n'), ('help', 'n'), ('miss', 'v'), ('item', 'n')]",3
14,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i have had to reorder from places to make sure i actually get what is correct,"[('i', 'n'), ('have', 'v'), ('have', 'v'), ('reorder', 'v'), ('place', 'n'), ('make', 'v'), ('sure', 'a'), ('i', 'n'), ('get', 'v'), ('be', 'v'), ('correct', 'a')]",3
15,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,anyone else have picky kids,"[('anyone', 'n'), ('have', 'v'), ('picky', 'a'), ('kid', 'n')]",3
16,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,you cannot even eat and enjoy food when your childs does not come or has crap on it that you did not order3,"[('eat', 'v'), ('enjoy', 'v'), ('food', 'n'), ('child', 'n'), ('do', 'v'), ('come', 'v'), ('have', 'v'), ('crap', 'v'), ('do', 'v'), ('order3', 'v')]",3
17,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,the area to leave directions to the house is way too small,"[('area', 'n'), ('leave', 'v'), ('direction', 'n'), ('house', 'n'), ('be', 'v'), ('way', 'n'), ('small', 'a')]",3
18,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,my neighbors are getting angry that cars are always at their house and i am getting annoyed trying to reduce the directions down to,"[('neighbor', 'n'), ('be', 'v'), ('get', 'v'), ('angry', 'a'), ('car', 'n'), ('be', 'v'), ('house', 'n'), ('i', 'n'), ('be', 'v'), ('get', 'v'), ('annoy', 'v'), ('try', 'v'), ('reduce', 'v'), ('direction', 'n')]",3
19,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,250 characters,"[('character', 'n')]",3
20,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,so if it is not clear the drivers get confused and my neighbors and i are annoyed,"[('be', 'v'), ('clear', 'a'), ('driver', 'n'), ('get', 'v'), ('confuse', 'v'), ('neighbor', 'n'), ('i', 'n'), ('be', 'v'), ('annoy', 'v')]",3
21,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,whose fault,"[('fault', 'n')]",3
22,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,fix it,"[('fix', 'n')]",3
23,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,they blocked my account in sept i have followed the email steps and still have not yet received any response,"[('block', 'v'), ('account', 'n'), ('sept', 'n'), ('i', 'n'), ('have', 'v'), ('follow', 'v'), ('email', 'a'), ('step', 'n'), ('have', 'v'), ('receive', 'v'), ('response', 'n')]",1
24,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,they will block you for any little thing especially when some things are out of your control,"[('block', 'v'), ('little', 'a'), ('thing', 'n'), ('thing', 'n'), ('be', 'v'), ('control', 'n')]",1
25,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,for example i will have two deliveries my first delivery pick up would be my last drop off,"[('example', 'n'), ('i', 'n'), ('have', 'v'), ('delivery', 'n'), ('first', 'a'), ('delivery', 'n'), ('pick', 'n'), ('be', 'v'), ('last', 'a'), ('drop', 'n')]",1
