s_id,r_id,app_name,app_id,date,title,review,pos,rating
1,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i have been waiting for an hour so far for my lunch,"[('i', 'n'), ('have', 'v'), ('been', 'v'), ('waiting', 'v'), ('hour', 'n'), ('lunch', 'n')]",3
2,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,an hour after the delivery time which already was an hour,"[('hour', 'n'), ('delivery', 'n'), ('time', 'n'), ('was', 'v'), ('hour', 'n')]",3
3,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,2 hrs,"[('hrs', 'n')]",3
4,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,the driver made at least five other deliveries and she is not done yet,"[('driver', 'n'), ('made', 'v'), ('least', 'a'), ('other', 'a'), ('deliveries', 'n'), ('is', 'v'), ('done', 'v')]",3
5,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,i am not paying extra per order to have my meal come straight to me,"[('i', 'n'), ('am', 'v'), ('paying', 'v'), ('extra', 'a'), ('order', 'n'), ('have', 'v'), ('meal', 'a'), ('come', 'a'), ('straight', 'n')]",3
6,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,she was at the restaurant quickly to pick my food up but then delivered to so many others2,"[('was', 'v'), ('restaurant', 'n'), ('pick', 'v'), ('food', 'n'), ('delivered', 'v'), ('many', 'a'), ('others2', 'n')]",3
7,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,this is not the drivers fault,"[('is', 'v'), ('drivers', 'n'), ('fault', 'v')]",3
8,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,if they agree to accept every delivery then it is what it is,"[('agree', 'v'), ('accept', 'v'), ('delivery', 'n'), ('is', 'v'), ('is', 'v')]",3
9,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,it is hit or miss if your food will be 20 mins or 2 hours,"[('is', 'v'), ('hit', 'v'), ('miss', 'v'), ('food', 'n'), ('be', 'v'), ('mins', 'n'), ('hours', 'n')]",3
10,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,for as much as you pay per order so everyone profits it is not worth waiting so long for the order,"[('much', 'a'), ('pay', 'v'), ('order', 'n'), ('everyone', 'n'), ('profits', 'n'), ('is', 'v'), ('worth', 'a'), ('waiting', 'v'), ('order', 'n')]",3
